timestamp,heart_rate_bpm,steps,sleeping,spo2_pct,calories_burned,is_anomaly,rule_tachycardia,rule_bradycardia,rule_low_spo2,rule_sleep_steps,rule_sleep_hr,rule_anomaly,prophet_anomaly,dbscan_anomaly,anomaly_score,final_anomaly,severity
2024-01-01 00:00:00,62.3,0.0,1.0,97.9,3.32,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:05:00,65.1,0.0,1.0,97.9,2.7,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:10:00,58.1,0.0,1.0,96.5,2.09,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:15:00,54.0,0.0,1.0,96.8,3.45,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:20:00,56.4,0.0,1.0,97.6,2.22,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:25:00,58.4,0.0,1.0,97.4,2.48,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:30:00,58.4,0.0,1.0,96.9,3.17,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:35:00,60.5,0.0,1.0,97.6,2.99,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:40:00,53.5,0.0,1.0,98.0,2.98,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:45:00,56.7,0.0,1.0,97.8,3.28,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:50:00,56.1,0.0,1.0,97.3,2.9,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 00:55:00,55.6,0.0,1.0,96.9,3.08,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:00:00,61.8,0.0,1.0,97.2,3.15,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:05:00,47.1,0.0,1.0,97.9,2.42,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:10:00,56.3,0.0,1.0,97.7,3.6,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:15:00,55.3,0.0,1.0,97.2,3.2,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:20:00,57.9,0.0,1.0,98.0,2.57,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:25:00,58.8,0.0,1.0,97.6,2.96,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:30:00,57.2,0.0,1.0,97.1,2.75,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:35:00,59.0,0.0,1.0,97.5,3.01,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:40:00,58.7,0.0,1.0,98.7,3.26,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:45:00,61.2,0.0,1.0,97.9,3.52,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:50:00,59.5,0.0,1.0,98.6,2.52,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 01:55:00,56.25,0.0,1.0,97.5,2.06,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 02:00:00,53.0,0.0,1.0,97.55,3.15,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 02:05:00,52.7,0.0,1.0,97.6,2.71,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 02:10:00,56.3,0.0,1.0,97.6,3.13,0.0,0,0,0,0,0,0,0,0,0,0,normal
2024-01-01 02:15:00,59.9,0.0,1.0,97.1,3.89,0.0,0,0,0,0,0,0,0,0,0,0,normal
